frame,clip,MSE,PSNR,SSIM
72,SVD_rank10,0.0,inf,1.0
72,batch_rank10,166.2912,25.922109603881836,0.8635438063687425
73,PCA_rank10,21.995522,34.70745849609375,0.9737835299966354
73,SVD_rank10,0.0,inf,1.0
73,batch_rank10,141.66594,26.618148803710938,0.8776273017015961
74,PCA_rank10,30.997656,33.21751403808594,0.9643635965750385
74,SVD_rank10,0.0,inf,1.0
74,batch_rank10,116.760315,27.457849502563477,0.8775484288045461
75,PCA_rank10,39.69745,32.1431770324707,0.9579962757363724
75,SVD_rank10,0.0,inf,1.0
75,batch_rank10,137.36162,26.75214958190918,0.8562230589385836
76,PCA_rank10,39.15333,32.20311737060547,0.9578487885659561
76,SVD_rank10,0.0,inf,1.0
76,batch_rank10,210.66708,24.89483642578125,0.8248993955359444
77,PCA_rank10,31.838594,33.10126495361328,0.962683955821514
77,SVD_rank10,0.0,inf,1.0
77,batch_rank10,244.83974,24.24198341369629,0.8184742711051436
78,PCA_rank10,29.425468,33.44356918334961,0.9644583297899053
78,SVD_rank10,0.0,inf,1.0
78,batch_rank10,296.9978,23.403270721435547,0.8020438707937335
79,PCA_rank10,28.701614,33.55174255371094,0.9643708898637116
79,SVD_rank10,0.0,inf,1.0
79,batch_rank10,329.76376,22.948776245117188,0.7915762777050306
80,PCA_rank10,30.356197,33.30833053588867,0.9623567671292428
80,SVD_rank10,0.0,inf,1.0
80,batch_rank10,341.1258,22.801658630371094,0.7893735553331824
81,PCA_rank10,39.650936,32.14826965332031,0.9514769436110593
81,SVD_rank10,0.0,inf,1.0
81,batch_rank10,395.32224,22.161291122436523,0.7734429532010183
82,PCA_rank10,40.81896,32.022186279296875,0.9521224344596912
82,SVD_rank10,0.0,inf,1.0
82,batch_rank10,393.69983,22.179149627685547,0.7711530392646887
83,PCA_rank10,29.134583,33.486717224121094,0.9649353056371236
83,SVD_rank10,0.0,inf,1.0
83,batch_rank10,415.74426,21.942541122436523,0.7700173357756824
84,PCA_rank10,25.899792,33.997840881347656,0.9685932536967493
84,SVD_rank10,0.0,inf,1.0
84,batch_rank10,374.33548,22.398193359375,0.7839826563717797
85,PCA_rank10,34.15182,32.79666519165039,0.9645593981421874
85,SVD_rank10,0.0,inf,1.0
85,batch_rank10,331.0949,22.931278228759766,0.7931806924366135
86,PCA_rank10,22.422657,34.623931884765625,0.9730828825519463
86,SVD_rank10,0.0,inf,1.0
86,batch_rank10,238.30849,24.35940933227539,0.7928366491519012
87,PCA_rank10,30.129478,33.34088897705078,0.9665852501225143
87,SVD_rank10,0.0,inf,1.0
87,batch_rank10,280.31308,23.654369354248047,0.745073388167978
88,PCA_rank10,39.34875,32.181495666503906,0.9601667895860527
88,SVD_rank10,0.0,inf,1.0
88,batch_rank10,242.10995,24.29067611694336,0.7642907335126323
89,PCA_rank10,19.743958,35.17646026611328,0.9733501401400751
89,SVD_rank10,0.0,inf,1.0
89,batch_rank10,202.47557,25.06707763671875,0.8028721637283099
90,PCA_rank10,23.639948,34.39433670043945,0.9687474112934167
90,SVD_rank10,0.0,inf,1.0
90,batch_rank10,235.84323,24.40456771850586,0.7945510183534743
91,PCA_rank10,21.28927,34.84919738769531,0.9689551614967683
91,SVD_rank10,0.0,inf,1.0
91,batch_rank10,285.35797,23.576904296875,0.7814242034444259
92,PCA_rank10,21.083124,34.89145278930664,0.9712784015651647
92,SVD_rank10,0.0,inf,1.0
92,batch_rank10,299.31204,23.36956214904785,0.7805867133247958
93,PCA_rank10,27.138699,33.79491424560547,0.9640955196162011
93,SVD_rank10,0.0,inf,1.0
93,batch_rank10,282.4227,23.621807098388672,0.7919082542007264
94,PCA_rank10,30.352188,33.308902740478516,0.9601319389466686
94,SVD_rank10,0.0,inf,1.0
94,batch_rank10,286.4983,23.559581756591797,0.7903993201155645
95,PCA_rank10,26.966562,33.822547912597656,0.9625895292683967
95,SVD_rank10,0.0,inf,1.0
95,batch_rank10,273.62848,23.759191513061523,0.7837615497708172
96,PCA_rank10,18.028698,35.57115936279297,0.9711229803849729
96,SVD_rank10,0.0,inf,1.0
96,batch_rank10,231.75114,24.48058319091797,0.7908599910859206
97,PCA_rank10,21.671093,34.771995544433594,0.9648241104156129
97,SVD_rank10,0.0,inf,1.0
97,batch_rank10,185.89854,25.43804359436035,0.7979552875357983
98,PCA_rank10,54.358646,30.778118133544922,0.9332773835027124
98,SVD_rank10,0.0,inf,1.0
98,batch_rank10,213.16005,24.843746185302734,0.7902973119325402
99,PCA_rank10,104.209946,27.95171356201172,0.8986691252833374
99,SVD_rank10,0.0,inf,1.0
99,batch_rank10,279.68292,23.664142608642578,0.7732906298778363
100,PCA_rank10,149.52422,26.38368797302246,0.8734652337339992
100,SVD_rank10,0.0,inf,1.0
